HolderAddress,Balance,PendingBalanceUpdate
0x018532e25167efb76bdfeba6f00fa5cc162bf6f4,100,No
0x0185633ea346810dceb36aef342d44afb06f67c9,140,No
0x0186786ea4dba4a26e4b2790bd475a8035b83a82,2236.315,No
0x01871b0c6d055b1adb9f72c820b81d7668b38e70,1,No
0x0189febc1ff79b136e587f23dad185b4d384ebbd,100,No
0x018a4a93f146f90adf13b6c827ce88cef0336e0c,90,No
0x018c4d4bba2c7d6b62859289f80a4f50781dd4fd,9966.66,No
0x018e329d463a95a58737bd7c246df94c3439723e,100,No
0x018e534cb4a5bd8921993db6385724f44d92de31,10,No
0x018e534cb4a5bd9821993db6385724f44d92de31,9084,No
0x019491fac979e22b07930a16ef385f17d5ca36f8,95,No
0x01995d862c751522b257dfa604e44f90cbaf1423,1020.647556,No
0x0199c0f0dd851573042ef82d4b306296a2856f8e,100,No
0x019bcc89dde7b10e80bbaaa69215e976d9c5ae88,97.2051,No
0x019c0da7b4c1c04cdd7dd1118f688a63820cf092,42544.71592,No
0x019d34aa12b8ce35570e74dd08b5e065cedd8b1c,1690,No
0x019da594ae971d1f2203b599cbee5b50e5b81572,1440,No
0x01a0da0bfd2736ddcb3b5ca5a4114c1987bd89e7,100,No
0x01a245e32fae2fd6000d424eb51209d7ecbc12a5,100,No
0x01a7b254b34bde34c34afe4b6853bcec6e615ea3,490,No
0x01a7d4fe673edea57a79869db5ca855e1ff151c3,1.00E-07,No
0x01aa69956169f3d64bf95b06074ed090a5b92199,100,No
0x01aaa31abb9ce3c42529ad2a2740ab5907ae5584,11426.78596,No
0x01aeaa723659575d257f50be6584ac4d9e2a0c64,1.00E-18,No
0x01aede009524a542e06add97ab35e6125ebe9213,100,No
0x01b0eb9e87f9e3abd24feccf89fa34c07ddd0b45,2299,No
0x01b140e883d364fe85bbc481e19f6caec5dcddb4,100,No
0x01b413e6e87d91b8143b801b0370dc051b5929b3,100,No
0x01b4755b95f480e09307ab1ef5e421b7b429012e,105435,No
0x01b84ffd9c33b81ccbf898397ac4d03840eb144b,10100,No
0x01b9d0b17902b4fcda7d57d07cc400725bf9c46a,100,No
0x01bcfe4488f259a228ab799c011cf8998a62c769,100,No
0x01c10163aa941806f05e1471839c2c96f35088b0,1.00E-07,No
0x01c2f5503061bc905f1e34f7e828724f43d667d9,1752.912733,No
0x01c322f4d45cec8d0a0eb8ac6eeefe9c7ee63af7,2158,No
0x01c56579357b12a1e94d8f006a0937ffe3b4e012,450,No
0x01c5f481ec31da26a37e0e29db07462a6fe648b9,1192.5472,No
0x01c9dd6827877c5fb9db08eafb7ea26ef07122dd,10010.68848,No
0x01c9f4268beb4c049ac81e0a1d8e6970078601b1,100,No
0x01cb1c0336fa6ebebe6b2cbd4acf330833c2e514,98.412,No
0x01cc5c5ec8332704f1a8dbf29f6dec0f1de93393,39280,No
0x01cff57b3144bbc554066e617472fea6554cec83,0.83164,No
0x01d282dff2a3bdbfc13676baf66f413b57404215,10,No
0x01d6090fd6cbc971f9a13581d0e0dea8479a4091,13653.309,No
0x01d97b554cee63264636b5a0f527e8534b7d915c,2687.4821,No
0x01dd8921826d5421381fcda4c1e57af5823a0f40,45682.678,No
0x01e12341e1b7483fbe6fdbb6d4f0cdabd764a50f,101.13728,No
0x01e56783965177ec370b0613c05ab0d7be5f6449,200,No
0x01ee86b0b377c158092294d5d9f15f9d0bcf96b3,1.00E-18,No
0x01f057c93a7b233e2c891a5f5732360c24d45d3c,1.00E-18,No
0x01f3ce0f198dbeaa3ced8339de9556bb3066bb22,15.576,No
0x01f66094f5da0a8bbc204dce48c8b9c05f997945,1.00E-07,No
0x01f8d52e095787543d04172529c3b0c921872e14,100,No
0x01fb90685f3febbdc9b85b11e95b645b11304aba,100,No
0x01fbd327c8aa4d1373011335d8969f427fae31fe,11574.902,No
0x01fdb80a936410e231a12eed3d26afec47ba78ce,1.00E-18,No
0x0203b2aba8589f6fac8fdd83b32f3249a0ff31b4,100,No
0x0207058c980a79c672d3720e91e9d62037549709,798,No
0x020ac1ab1105ded52c9aae6bea5691ef464b8579,1558,No
0x020c1e918530150423a90d8972f81b712fbef484,673.11786,No
0x020cba1c0b7b2728e25dc88239d53a6174e2088f,200,No
0x020d87ed461108890843a690571b7a7c01a93e9a,1.00E-07,No
0x020e91076319d8dae6759a18651a361da9feb0e3,7065.44076,No
0x020ef765e8638afac17011b6179573db5cd55523,0.467575364,No
0x020f67f50be87aaa6133c2ddbbfbc9790d05fe02,20678.6726,No
0x0210c842d52e35743f957a9df0b3823c407aca5b,1100,No
0x0212d3746c6a148cc6bd7bc2e21a5a96cd72356d,100,No
0x02132b8ea0b2f3e0f80c67c6ddf2d83544eb6b09,27478.41292,No
0x02134f39f0bd556b62f7b190cf83e718e5f9a68a,100,No
0x021403ba875ea4de5c9014760e6a87dbc675b1c5,6451.6,No
0x021456283729ab3ee989982e14543db5874b438b,1.00E-07,No
0x02182f37721d6aecd5d865a2aeab58e19cc17705,50,No
0x02193a7fb545092dbcbe0a703a4b170b3a5c9acd,10,No
0x021a2cd825503a7916af9132636f00e2d7efadfb,100,No
0x021a719266324a71f8596622dd8af566e06af0d5,10,No
0x021b90e750834cc1e5756994f3c5fad52b38d798,1.00E-07,No
0x021c6dd2cc6804533627fe16d6f35c8a0bffdefe,50199.6574,No
0x0224d8a911ec4f4d575c4089c6ed8de95756fa99,261,No
0x02251b44f3ba3e07099f78ac0a594faa04298a4d,1.00E-07,No
